macro,energy_hartree,relative_error,dE,grad_orb,grad_ci,ddm,max_rot,jk_this_macro,micro_this_macro,total_jk,total_micro,macro_step_wall_s,cumulative_macro_wall_s,cumulative_casscf_wall_s,cumulative_peak_rss_mb
3,-14.632999970585816,0.002342618536272674,-0.008090730757924547,0.021207351752175394,0.0329663366290732,0.0006698613116153206,0.3057408159671975,16,3,42,8,919.5307686619926,10197.712240150999,11355.440433305994,2128.0234375
3,-14.642585297213554,0.0016891044323209268,-0.0095853266277377,0.021207351752175394,0.0329663366290732,0.00103439313675325,0.30081711462942534,21,4,63,12,1809.7303442859993,12007.442584436998,13165.170777591993,2156.53125
4,-14.642585297213554,0.0016891044323209268,-0.0095853266277377,0.009164835985258643,0.046368076015328254,0.00030874332998232683,0.30081711462942534,6,1,63,12,631.2202386029967,12638.662823039995,13796.39101619499,2156.53125
4,-14.642585297213554,0.0016891044323209268,-0.0095853266277377,0.009164835985258643,0.0433641590139953,0.0005921457185850179,0.30081711462942534,11,2,63,12,832.7374148910021,13471.400237930997,14629.128431085992,2156.53125
4,-14.642585297213554,0.0016891044323209268,-0.0095853266277377,0.009164835985258643,0.03690604102212205,0.0008669896635324985,0.30081711462942534,16,3,63,12,838.7837842970039,14310.184022228,15467.912215382996,2156.53125
4,-14.650854652410441,0.0011253114118395778,-0.008269355196887318,0.009164835985258643,0.03690604102212205,0.001383023399684832,0.310049284820448,21,4,84,16,1917.6074278470041,16227.791450075005,17385.51964323,2156.53125
5,-14.650854652410441,0.0011253114118395778,-0.008269355196887318,0.00794904692273969,0.02171612582430383,0.0002781879317680299,0.310049284820448,6,1,84,16,632.9718704260013,16860.763320501006,18018.491513656,2156.53125
5,-14.650854652410441,0.0011253114118395778,-0.008269355196887318,0.00794904692273969,0.015542628509788515,0.0005574027961460281,0.310049284820448,11,2,84,16,828.2645710739889,17689.027891574995,18846.75608472999,2156.53125
5,-14.650854652410441,0.0011253114118395778,-0.008269355196887318,0.00794904692273969,0.011315338398870866,0.0008749694529396789,0.310049284820448,16,3,84,16,829.2586878910079,18518.286579466003,19676.014772620998,2156.53125
5,-14.656310077723209,0.0007533681778310268,-0.005455425312767659,0.00794904692273969,0.011315338398870866,0.002275140996870764,0.3099535788923946,21,4,105,20,2002.6571682689973,20520.943747735,21678.671940889995,2156.53125
6,-14.656310077723209,0.0007533681778310268,-0.005455425312767659,0.002979473751480566,0.012556559862379999,0.0003286574808239308,0.3099535788923946,6,1,105,20,632.2388952420006,21153.182642977,22310.910836131996,2156.53125
6,-14.656310077723209,0.0007533681778310268,-0.005455425312767659,0.002979473751480566,0.009750765287178624,0.0003661375202221087,0.3099535788923946,11,2,105,20,828.7846936620044,21981.967336639005,23139.695529794,2156.53125
6,-14.656310077723209,0.0007533681778310268,-0.005455425312767659,0.002979473751480566,0.009391267292040154,0.0005011778622357676,0.3099535788923946,16,3,105,20,827.4271394829993,22809.394476122005,23967.122669277,2156.53125
6,-14.657008779479487,0.0007057316736286454,-0.0006987017562778419,0.002979473751480566,0.009391267292040154,0.0017560529299094744,0.3064908153229001,21,4,126,24,2126.428117214993,24935.822593336998,26093.550786491993,2156.53125
7,-14.657008779479487,0.0007057316736286454,-0.0006987017562778419,0.0015104057523952605,0.01596298809790209,0.00014486753350795203,0.3064908153229001,6,1,126,24,633.3281828080071,25569.150776145005,26726.8789693,2156.53125
7,-14.657008779479487,0.0007057316736286454,-0.0006987017562778419,0.0015104057523952605,0.02349148869946562,0.00016706512926978348,0.3064908153229001,11,2,126,24,828.8160601330019,26397.966836278007,27555.695029433,2156.53125
7,-14.657008779479487,0.0007057316736286454,-0.0006987017562778419,0.0015104057523952605,0.02237885429380775,0.00026417298132941385,0.3064908153229001,16,3,126,24,831.317715844998,27229.284552123005,28387.012745278,2156.53125
7,-14.65791604131351,0.000643875836312136,-0.0009072618340226768,0.0015104057523952605,0.02237885429380775,0.001772354289558566,0.24978443086643007,21,4,147,28,2747.5293034999922,29976.813855622997,31134.542048777992,2156.53125
8,-14.65791604131351,0.000643875836312136,-0.0009072618340226768,0.00130968753492379,0.01918952958355174,9.62284297996596e-05,0.24978443086643007,6,1,147,28,629.2607803080027,30606.074635931,31763.802829085995,2156.53125
8,-14.65791604131351,0.000643875836312136,-0.0009072618340226768,0.00130968753492379,0.017934749466168548,0.00018335983840062065,0.24978443086643007,11,2,147,28,826.3173011269973,31432.391937057997,32590.120130212992,2156.53125
8,-14.65791604131351,0.000643875836312136,-0.0009072618340226768,0.00130968753492379,0.016202326816198424,0.00023718031532798557,0.24978443086643007,16,3,147,28,829.3134682560049,32261.705405314002,33419.433598469,2156.53125
8,-14.65921463941251,0.0005553392422011369,-0.0012985980989999035,0.00130968753492379,0.016202326816198424,0.0013032953001990276,0.30800402350949424,21,4,168,32,2863.818775184991,35125.52418049899,36283.25237365399,2156.53125
9,-14.65921463941251,0.0005553392422011369,-0.0012985980989999035,0.0012540907315079421,0.020926301622268183,5.3537918169697254e-05,0.30800402350949424,6,1,168,32,631.545702539006,35757.069883038,36914.798076192994,2156.53125
9,-14.65921463941251,0.0005553392422011369,-0.0012985980989999035,0.0012540907315079421,0.01594112915878474,0.00010473793850493538,0.30800402350949424,11,2,168,32,830.9617457840068,36588.031628822006,37745.759821977,2156.53125
9,-14.65921463941251,0.0005553392422011369,-0.0012985980989999035,0.0012540907315079421,0.013472120309832357,0.0001517506180388353,0.30800402350949424,16,3,168,32,828.3097797069931,37416.341408529,38574.069601683994,2156.53125
9,-14.660612966452497,0.0004600032689934165,-0.00139832703998799,0.0012540907315079421,0.013472120309832357,0.0007520715601132389,0.2975775241395361,21,4,189,36,3180.623166781006,40596.964575310005,41754.692768465,2156.53125
10,-14.660612966452497,0.0004600032689934165,-0.00139832703998799,0.0010530046150673297,0.01816909615911874,3.6169066697002405e-05,0.2975775241395361,6,1,189,36,630.6802224790008,41227.644797789006,42385.372990944,2156.53125
10,-14.660612966452497,0.0004600032689934165,-0.00139832703998799,0.0010530046150673297,0.015941849740045005,6.652083666700507e-05,0.2975775241395361,11,2,189,36,829.990190823999,42057.634988613005,43215.363181768,2156.53125
10,-14.660612966452497,0.0004600032689934165,-0.00139832703998799,0.0010530046150673297,0.013164425208830275,8.61695069866843e-05,0.2975775241395361,16,3,189,36,827.2466083119944,42884.881596925,44042.609790079994,2156.53125
10,-14.66194290938566,0.0003693296281226124,-0.0013299429331627977,0.0010530046150673297,0.013164425208830275,0.00044830511698884117,0.31027058208040387,21,4,210,40,2962.2299339989986,45847.111530924,47004.83972407899,2156.53125
11,-14.66194290938566,0.0003693296281226124,-0.0013299429331627977,0.0009142355129667317,0.009142110182853365,2.1604634878121265e-05,0.31027058208040387,6,1,210,40,635.9733283200039,46483.084859244,47640.813052399,2156.53125
11,-14.66194290938566,0.0003693296281226124,-0.0013299429331627977,0.0009142355129667317,0.008740412003905353,5.435403873248678e-05,0.31027058208040387,11,2,210,40,826.8760737389966,47309.960932983,48467.68912613799,2156.53125
11,-14.66194290938566,0.0003693296281226124,-0.0013299429331627977,0.0009142355129667317,0.010410157971374696,8.54200034550326e-05,0.31027058208040387,16,3,210,40,825.287371990009,48135.24830497301,49292.976498128,2156.53125
11,-14.662940771053975,0.00030129682137925297,-0.0009978616683152808,0.0009142355129667317,0.010410157971374696,0.0007172017066211224,0.2754173354365681,21,4,231,44,3904.188421208004,52039.43672618101,53197.164919336006,2156.53125
12,-14.662940771053975,0.00030129682137925297,-0.0009978616683152808,0.0006200602612586293,0.01880369419399341,3.130582656383064e-05,0.2754173354365681,6,1,231,44,633.517695847986,52672.954422029,53830.68261518399,2156.53125
12,-14.662940771053975,0.00030129682137925297,-0.0009978616683152808,0.0006200602612586293,0.01802952140171276,5.4007340883117266e-05,0.2754173354365681,11,2,231,44,824.6674434159941,53497.62186544499,54655.35005859999,2156.53125
